ch1voltsWL2,ch4voltsWL2
-0.0012803,0.0017729
-0.0013508,0.0018054
-0.001418,0.0018561
-0.0014948,0.0018728
-0.0015788,0.0018328
-0.0016477,0.0017441
-0.0016825,0.0016324
-0.0016911,0.0015193
-0.001701,0.0014071
-0.001726,0.0012858
-0.0017485,0.0011509
-0.0017436,0.0010119
-0.0017179,0.0008783
-0.0017106,0.00074926
-0.0017492,0.00062896
-0.0018074,0.00055372
-0.0018223,0.00058658
-0.001756,0.00076398
-0.0016368,0.001043
-0.0015331,0.0013177
-0.0014884,0.0015059
-0.0014878,0.0016234
-0.0014855,0.001758
-0.001456,0.0019565
-0.0014125,0.0021361
-0.0013807,0.0021226
-0.0013645,0.0017959
-0.0013425,0.0012092
-0.0012932,0.00056618
-0.0012205,7.1287e-05
-0.0011549,-0.00021269
-0.001133,-0.00037977
-0.0011707,-0.00057051
-0.0012498,-0.00084944
-0.0013284,-0.0011772
-0.0013722,-0.0014831
-0.0013848,-0.0017529
-0.001408,-0.0020442
-0.0014807,-0.0024213
-0.001591,-0.0028794
-0.0016741,-0.0033355
-0.0016667,-0.0036951
-0.0015716,-0.0039307
-0.0014645,-0.004097
-0.0014284,-0.0042689
-0.0014771,-0.0044647
-0.0015435,-0.0046329
-0.0015462,-0.0047148
-0.0014687,-0.0047189
-0.0013755,-0.0047252
-0.0013496,-0.0048085
-0.0014127,-0.0049569
-0.0015032,-0.0050697
-0.0015293,-0.0050438
-0.0014491,-0.0048686
-0.001304,-0.0046373
-0.0011788,-0.0044624
-0.001127,-0.0043746
-0.0011303,-0.0042964
-0.0011263,-0.0041122
-0.0010752,-0.0037677
-0.0009966,-0.0033115
-0.00094272,-0.0028473
-0.00093598,-0.0024507
-0.00094021,-0.0021261
-0.00089576,-0.0018338
-0.00078143,-0.001544
-0.00063779,-0.0012647
-0.00052924,-0.0010286
-0.00048603,-0.00087176
-0.0004846,-0.00083188
-0.0004782,-0.00095087
-0.00043894,-0.0012526
-0.00037175,-0.0017044
-0.00030007,-0.0022108
-0.00024812,-0.0026629
-0.00023355,-0.0030084
-0.00026288,-0.0032715
-0.00032363,-0.0035049
-0.00038603,-0.0037272
-0.00042518,-0.0039146
-0.00044662,-0.00405
-0.00048316,-0.0041643
-0.00055684,-0.0043168
-0.00064266,-0.0045318
-0.00067838,-0.0047623
-0.00061999,-0.0049239
-0.00049034,-0.004967
-0.00036987,-0.0049127
-0.00033288,-0.0048177
-0.00038601,-0.0047071
-0.00046549,-0.0045533
-0.00049558,-0.0043253
-0.00045435,-0.0040556
-0.00038843,-0.0038446
-0.00036624,-0.0037866
-0.00041306,-0.0038827
-0.00048768,-0.0040321
-0.00052148,-0.0041135
-0.00048305,-0.0040837
-0.00040748,-0.0039998
-0.00036264,-0.0039508
-0.00038553,-0.0039714
-0.00044944,-0.0040154
-0.00049166,-0.004002
-0.00047282,-0.0038822
-0.00041063,-0.0036668
-0.00035822,-0.0034042
-0.00035089,-0.003136
-0.00037345,-0.0028674
-0.00037841,-0.0025715
-0.00033554,-0.0022241
-0.00026296,-0.001839
-0.00020888,-0.001475
-0.00020181,-0.0012058
-0.00021786,-0.0010759
-0.0001999,-0.0010848
-0.00011357,-0.0012078
1.3746e-05,-0.0014244
0.00011039,-0.0017181
0.00012031,-0.0020505
5.0442e-05,-0.0023524
-3.9003e-05,-0.0025591
-9.1761e-05,-0.0026635
-0.00010567,-0.002732
-0.00012885,-0.0028545
-0.00020676,-0.0030718
-0.00033262,-0.0033463
-0.0004489,-0.0036063
-0.00049745,-0.003817
-0.00047047,-0.0040101
-0.00041539,-0.0042425
-0.00039112,-0.0045248
-0.00041811,-0.0047919
-0.00046676,-0.0049452
-0.00049093,-0.0049338
-0.00047244,-0.0048026
-0.00043456,-0.0046627
-0.00041497,-0.0046056
-0.00042837,-0.0046359
-0.00045702,-0.0046816
-0.00047422,-0.0046692
-0.00047093,-0.004586
-0.00045673,-0.0044731
-0.00044022,-0.0043662
-0.00041725,-0.0042579
-0.00038158,-0.0041188
-0.00034125,-0.0039435
-0.00031606,-0.0037569
-0.00031777,-0.0035726
-0.00033755,-0.0033597
-0.00035531,-0.0030668
-0.00035769,-0.0026803
-0.00034309,-0.0022503
-0.00031286,-0.0018522
-0.00026508,-0.0015263
-0.00020032,-0.0012565
-0.00012927,-0.0010046
-6.941e-05,-0.00076115
-3.3039e-05,-0.00056536
-1.9357e-05,-0.00048484
-1.5711e-05,-0.00057557
-3.0073e-06,-0.00084769
3.6746e-05,-0.001254
0.00010798,-0.0017086
0.00018978,-0.0021285
0.00024148,-0.002472
0.00023208,-0.0027454
0.00016984,-0.0029731
9.7637e-05,-0.0031658
5.1415e-05,-0.0033177
2.4071e-05,-0.0034314
-2.2051e-05,-0.0035346
-0.00010295,-0.0036616
-0.00017882,-0.0038163
-0.00018173,-0.0039608
-8.2287e-05,-0.0040446
7.2376e-05,-0.004046
0.0001904,-0.0039836
0.00020913,-0.0038891
0.00014335,-0.0037729
6.6704e-05,-0.003624
4.7024e-05,-0.0034413
9.2903e-05,-0.0032603
0.00015289,-0.0031432
0.00016376,-0.0031352
0.00010735,-0.0032233
2.9408e-05,-0.0033356
2.3846e-06,-0.0033883
5.9487e-05,-0.0033477
0.00015807,-0.0032583
0.00021272,-0.0032045
0.00017526,-0.0032288
