ch1voltsWL2,ch5voltsWL2
0.00096546,-0.012942
0.00096021,-0.012321
0.00090141,-0.012061
0.00084629,-0.01194
0.00084118,-0.011601
0.00088875,-0.010962
0.00095572,-0.010332
0.0010071,-0.010084
0.0010353,-0.010252
0.0010633,-0.010481
0.0011197,-0.01038
0.0012079,-0.0098976
0.0012925,-0.0093141
0.0013181,-0.008911
0.0012501,-0.0086927
0.001104,-0.0084614
0.00093875,-0.0081073
0.00081451,-0.0077469
0.0007494,-0.0075599
0.00071046,-0.0075518
0.00064581,-0.0075413
0.00053043,-0.0073803
0.00038843,-0.0071201
0.00027377,-0.0069155
0.00022319,-0.0067919
0.00022068,-0.0065768
0.00020847,-0.0060922
0.00014073,-0.0053878
3.3001e-05,-0.0047233
-4.3962e-05,-0.0042972
-2.9798e-05,-0.0040323
6.0317e-05,-0.0036655
0.00014047,-0.0030546
0.00013197,-0.002366
4.1036e-05,-0.0019121
-4.2532e-05,-0.0018043
-2.8747e-05,-0.0018096
8.7023e-05,-0.0015764
0.0002197,-0.00098784
0.00027382,-0.00026966
0.0002285,0.00025418
0.00014956,0.00048308
0.00012428,0.00060256
0.00018396,0.00085632
0.00028313,0.0013061
0.00034731,0.0018296
0.00034157,0.0023083
0.00029868,0.0027572
0.00028443,0.0032605
0.00033332,0.0038268
0.0004143,0.0043618
0.0004602,0.0047882
0.00043496,0.0051562
0.00037333,0.0056049
0.00034922,0.0062213
0.00039963,0.0069571
0.00048153,0.0076804
0.00051186,0.0082902
0.00045494,0.0087736
0.00036628,0.0091799
0.00034248,0.0095627
0.00042575,0.0099482
0.00056153,0.010338
0.00065361,0.010723
0.00065852,0.011093
0.00062051,0.011463
0.00061389,0.011878
0.00065775,0.012375
0.00069387,0.012934
0.00064803,0.013455
0.0005072,0.013825
0.00033254,0.014006
0.00019842,0.014066
0.00012362,0.014115
6.4825e-05,0.014219
-2.6213e-05,0.014384
-0.0001465,0.014615
-0.00024646,0.014947
-0.000287,0.0154
-0.00028403,0.015914
-0.00029116,0.016382
-0.00034027,0.016756
-0.00040672,0.017106
-0.00043769,0.017555
-0.00041164,0.018145
-0.00036273,0.018788
-0.00034414,0.019347
-0.00037112,0.019775
-0.00040502,0.020153
-0.00039318,0.0206
-0.00032081,0.021153
-0.0002234,0.021726
-0.00015151,0.022179
-0.00012504,0.022458
-0.0001186,0.022658
-8.8307e-05,0.02296
-1.4069e-05,0.023469
7.9864e-05,0.024097
0.00014409,0.024622
0.00014863,0.024894
0.00011427,0.025
9.8281e-05,0.025201
0.00014162,0.025692
0.00022663,0.02642
0.00029214,0.027145
0.00029747,0.027676
0.00027041,0.028038
0.00028285,0.028415
0.00037242,0.028962
0.00049245,0.029684
0.00055006,0.030466
0.00049963,0.031175
0.00039547,0.031703
0.00034537,0.031984
0.00040943,0.032008
0.00054585,0.031851
0.00065668,0.031642
0.00068457,0.031475
0.00066275,0.031345
0.00067223,0.031175
0.00075384,0.030901
0.00086305,0.030527
0.00090863,0.030096
0.00083543,0.029624
0.00067386,0.029091
0.0005138,0.028472
0.00042893,0.027772
0.0004185,0.027005
0.00041579,0.026189
0.00035384,0.025336
0.00022946,0.024467
0.0001073,0.023611
5.9189e-05,0.022794
9.4851e-05,0.022025
0.00015111,0.021304
0.00015211,0.020635
8.2211e-05,0.020028
-1.7774e-06,0.01949
-3.0815e-05,0.019022
5.9776e-06,0.018624
5.2499e-05,0.018285
4.531e-05,0.017966
-2.2688e-05,0.0176
-9.9616e-05,0.017125
-0.00012809,0.016534
-9.4386e-05,0.0159
-3.0009e-05,0.015326
2.3137e-05,0.014862
4.263e-05,0.014468
2.888e-05,0.014045
-3.339e-06,0.013513
-2.9724e-05,0.012866
-2.5396e-05,0.01215
1.5786e-05,0.01141
6.7277e-05,0.010671
8.4461e-05,0.0099648
4.5805e-05,0.0093574
-1.9852e-05,0.0089202
-5.5399e-05,0.0086497
-2.8709e-05,0.0084194
3.659e-05,0.0080488
8.3892e-05,0.0074492
7.6731e-05,0.0067123
2.9159e-05,0.006042
-1.3007e-05,0.0055827
-1.6366e-05,0.0053089
1.2985e-05,0.0050792
3.9818e-05,0.0047738
3.4127e-05,0.0043644
-2.8809e-07,0.0038731
-2.5396e-05,0.0033146
1.0716e-06,0.0027103
8.5327e-05,0.002128
0.00018066,0.0016503
0.00021595,0.0012849
0.00015287,0.00094471
2.1792e-05,0.00055057
-0.00010334,0.00013606
-0.00017479,-0.00019636
-0.0002193,-0.00042832
-0.00031237,-0.00068834
-0.00049763,-0.0011218
-0.00073101,-0.0017178
-0.00091245,-0.0023159
-0.00097973,-0.0027972
-0.00097068,-0.0032228
-0.00098766,-0.0037413
-0.0010964,-0.0043824
-0.0012605,-0.0049982
-0.0013782,-0.0054295
-0.0013827,-0.0056879
-0.0013067,-0.0059289
-0.0012484,-0.0062604
-0.0012789,-0.0066309
-0.001379,-0.0069198
-0.001461,-0.0070899
-0.0014495,-0.0072055
-0.0013479,-0.007329
-0.0012343,-0.0074684
-0.0011952,-0.0076459
-0.00125,-0.0079508
-0.0013325,-0.0084473
-0.0013478,-0.0090327
-0.0012592,-0.0094586
-0.0011249,-0.0095527
-0.0010426,-0.0094051
-0.0010529,-0.0092909
-0.0010993,-0.0093996
-0.0010896,-0.0096696
-0.00099349,-0.0099009
-0.00087409,-0.0099945
-0.00081956,-0.010038
-0.00085182,-0.010162
-0.00090912,-0.010374
-0.00091415,-0.010564
-0.00084871,-0.010658
-0.00075972,-0.010706
-0.00070347,-0.010791
-0.00069454,-0.010893
-0.00070532,-0.010892
-0.00070149,-0.010733
-0.00067051,-0.010535
-0.00062105,-0.01051
-0.00056542,-0.010756
-0.00050632,-0.01116
-0.00043783,-0.011523
-0.00035709,-0.011751
-0.00027616,-0.011904
-0.00022011,-0.012068
-0.00020807,-0.012239
-0.00023346,-0.012369
-0.00026965,-0.012483
-0.0003024,-0.012683
-0.00035309,-0.013021
-0.00045631,-0.013402
-0.00060756,-0.013672
-0.00074357,-0.013789
-0.00079325,-0.013871
-0.0007554,-0.014058
-0.00071444,-0.014351
-0.00076291,-0.014629
-0.00090445,-0.014812
-0.001043,-0.014948
-0.0010772,-0.015121
-0.0010032,-0.015311
-0.00091637,-0.015392
-0.00090903,-0.015279
-0.00097259,-0.015026
-0.0010093,-0.014769
-0.0009394,-0.014584
-0.00078893,-0.014455
-0.00066328,-0.014365
-0.00063614,-0.014376
-0.00067116,-0.014547
-0.00065897,-0.014797
-0.0005315,-0.01493
-0.00033627,-0.014831
-0.00019369,-0.014636
-0.00017881,-0.014627
-0.00024452,-0.014912
-0.00026361,-0.015263
-0.00015107,-0.015324
5.229e-05,-0.014995
0.00021711,-0.014581
0.00024859,-0.014498
0.00017763,-0.014834
0.00013123,-0.015247
0.0002102,-0.0153
0.00039355,-0.0149
0.00056157,-0.014357
0.00061081,-0.014059
0.00054692,-0.014107
0.00046992,-0.01429
0.00047592,-0.014358
0.00057652,-0.014256
0.00070617,-0.014109
0.00079441,-0.014025
0.00082589,-0.013995
0.0008404,-0.013955
0.00088899,-0.013899
0.00099071,-0.013884
0.0011176,-0.013944
0.001211,-0.01406
0.0012195,-0.014187
0.0011389,-0.014311
0.0010222,-0.014433
0.00094069,-0.014543
0.00092008,-0.014628
0.00091469,-0.014714
0.00085461,-0.014868
0.00072157,-0.015133
0.00057285,-0.015471
0.00048572,-0.01579
0.00047936,-0.016048
0.00049859,-0.016286
0.00047454,-0.016562
0.00039232,-0.016856
0.00029616,-0.017061
0.0002386,-0.017088
0.00023394,-0.016967
0.00025763,-0.016828
0.00027709,-0.016786
0.00027492,-0.016843
0.00025238,-0.016922
0.00022818,-0.016964
0.00023667,-0.016972
0.00030969,-0.01696
0.00044256,-0.016883
0.00057782,-0.016672
0.00063956,-0.016336
0.00060074,-0.016002
0.00051736,-0.015803
0.00048396,-0.015719
0.00054486,-0.01558
0.00064987,-0.015244
0.0007031,-0.014767
0.0006589,-0.014356
0.00056825,-0.014142
0.000528,-0.014026
0.00058457,-0.013788
0.00068939,-0.013346
0.00074834,-0.01285
0.00071315,-0.012512
0.00062561,-0.012337
0.00057495,-0.012097
0.00061144,-0.011558
0.00069731,-0.010751
0.00073936,-0.0099543
0.00067432,-0.0094343
0.00053181,-0.0092112
0.00041723,-0.0090906
0.00042452,-0.0089044
0.00055251,-0.0086801
0.00070198,-0.0085543
0.00076198,-0.0085686
0.00070996,-0.0085961
0.00062932,-0.0084582
0.00062221,-0.0080926
0.00070067,-0.0075897
