ch1voltsWL2,ch5voltsWL2
5.9934e-05,-0.035467
9.3071e-05,-0.035288
0.00014521,-0.035051
0.00020537,-0.034743
0.00026165,-0.034397
0.00031243,-0.034026
0.00036155,-0.033625
0.0004085,-0.033227
0.0004502,-0.032934
0.00049194,-0.032866
0.00054958,-0.033061
0.00063532,-0.033426
0.0007419,-0.033801
0.00084651,-0.034047
0.00093182,-0.034094
0.00099974,-0.033915
0.0010622,-0.033493
0.0011204,-0.03283
0.0011573,-0.031995
0.0011507,-0.031124
0.0010934,-0.030356
0.00099881,-0.029753
0.00088962,-0.029291
0.00078193,-0.028928
0.0006796,-0.028667
0.00057978,-0.028523
0.00048157,-0.028453
0.00038907,-0.028345
0.00030702,-0.028088
0.00023439,-0.027652
0.00016323,-0.027071
8.6138e-05,-0.026376
6.6338e-06,-0.025567
-5.8813e-05,-0.024683
-9.2066e-05,-0.023844
-8.9405e-05,-0.023175
-6.6404e-05,-0.022681
-4.452e-05,-0.022211
-3.1011e-05,-0.021596
-1.2522e-05,-0.020815
3.0193e-05,-0.01999
0.00010109,-0.019232
0.0001835,-0.018516
0.00025617,-0.017733
0.00031315,-0.016846
0.00036618,-0.015944
0.00042886,-0.015112
0.00050145,-0.014302
0.00057317,-0.013363
0.00063705,-0.01222
0.00069836,-0.010978
0.00076702,-0.0098233
0.00084479,-0.0088244
0.00092364,-0.0078575
0.00099665,-0.0067478
0.0010669,-0.005462
0.0011432,-0.0041424
0.0012278,-0.0029534
0.001312,-0.0019111
0.0013846,-0.00087224
0.0014436,0.0003224
0.0014983,0.001711
0.0015596,0.0031997
0.0016279,0.0046482
0.0016911,0.0059478
0.0017369,0.0070398
0.0017677,0.0078948
0.001804,0.0085057
0.0018685,0.0089052
0.0019655,0.0091729
0.0020765,0.0094098
0.0021793,0.0097025
0.002269,0.010114
0.0023565,0.010705
0.0024446,0.011549
0.0025113,0.01268
0.0025232,0.014015
0.0024672,0.015326
0.0023639,0.016341
0.0022474,0.016938
0.0021358,0.017253
0.0020249,0.017569
0.0019055,0.018058
0.0017788,0.018621
0.0016525,0.019032
0.001531,0.01925
0.0014171,0.019555
0.00132,0.020308
0.0012487,0.021546
0.001194,0.022887
0.0011293,0.023901
0.0010396,0.024579
0.00094713,0.025346
0.00089275,0.02655
0.00088705,0.028014
0.00089119,0.029202
0.00086163,0.029865
0.00080891,0.030339
0.00079145,0.031086
0.00084104,0.032004
0.00091093,0.0325
0.00092441,0.032394
0.00088038,0.032537
0.0008844,0.034111
0.0010442,0.037123
0.0013313,0.039879
0.0015721,0.040399
0.0016032,0.038495
0.0014366,0.036228
0.0012543,0.036021
0.0012303,0.038336
0.0013653,0.04137
0.0015066,0.043037
0.0015216,0.043017
0.0014282,0.042731
0.00135,0.043548
0.0013643,0.045399
0.0014245,0.047228
0.001436,0.048426
0.0013802,0.04943
0.0013359,0.050903
0.0013802,0.052716
0.0014948,0.054019
0.0015868,0.054249
0.0015921,0.053785
0.0015378,0.05351
0.001499,0.053875
0.0015124,0.054572
0.0015481,0.055064
0.0015598,0.055241
0.0015413,0.055446
0.0015237,0.055991
0.0015274,0.056807
0.0015332,0.057617
0.0015031,0.058283
0.0014195,0.058886
0.0012952,0.059487
0.0011513,0.059947
0.00099674,0.060047
0.0008309,0.059761
0.00065698,0.059314
0.00048335,0.059
0.00031354,0.058951
0.00014421,0.059107
-2.3306e-05,0.059354
-0.00017533,0.059635
-0.00029725,0.059916
-0.00039317,0.060106
-0.00048827,0.06004
-0.00060587,0.059561
-0.00074148,0.05863
-0.00086299,0.057357
-0.00093892,0.055935
-0.00096682,0.054523
-0.00097363,0.053182
-0.00098845,0.051879
-0.0010154,0.050568
-0.0010331,0.04925
-0.0010195,0.04798
-0.00097549,0.046808
-0.00092454,0.045729
-0.0008889,0.044689
-0.00087074,0.043633
-0.00085753,0.042544
-0.0008432,0.04145
-0.00083795,0.040384
-0.00085436,0.039369
-0.00088706,0.038416
-0.00091243,0.037525
-0.00091216,0.036683
-0.00089289,0.035867
-0.00087662,0.03507
-0.0008738,0.034308
-0.00087312,0.033597
-0.00086044,0.032907
-0.00084148,0.032175
-0.0008357,0.031376
-0.0008472,0.030583
-0.00085212,0.029897
-0.00082375,0.029315
-0.00076967,0.028678
-0.00073352,0.027807
-0.00075098,0.026696
-0.00080712,0.02553
-0.00084596,0.024471
-0.00082436,0.023439
-0.00075229,0.022157
-0.00067713,0.020453
-0.00063289,0.018494
-0.00061243,0.016704
-0.00058787,0.015418
-0.00054769,0.014639
-0.00050773,0.014111
-0.00049135,0.013576
-0.00050921,0.01293
-0.00056033,0.012154
-0.0006442,0.011186
-0.00076232,0.0099229
-0.00090809,0.0083483
-0.0010622,0.0066107
-0.0012029,0.0049379
-0.0013203,0.0034736
-0.0014194,0.0022087
-0.0015109,0.0010618
-0.0015995,6.7902e-08
-0.0016808,-0.0009312
-0.0017451,-0.0016867
-0.0017872,-0.0023057
-0.0018146,-0.0029091
-0.0018454,-0.0036113
-0.0018931,-0.0044343
-0.0019492,-0.0053021
-0.0019847,-0.0061154
-0.0019755,-0.0068377
-0.0019288,-0.0075235
-0.0018794,-0.0082712
-0.0018549,-0.0091456
-0.0018471,-0.010135
-0.0018222,-0.011168
-0.0017594,-0.012161
-0.0016738,-0.013054
-0.0015976,-0.013825
-0.0015428,-0.014484
-0.0014913,-0.01507
-0.0014221,-0.015644
-0.0013411,-0.01625
-0.001276,-0.016881
-0.0012428,-0.017475
-0.0012249,-0.017965
-0.0011917,-0.018344
-0.0011341,-0.01869
-0.0010735,-0.019105
-0.0010337,-0.019613
-0.0010113,-0.020118
-0.00098119,-0.020472
-0.00092877,-0.020616
-0.00086827,-0.020647
-0.00082433,-0.020743
-0.00080119,-0.021008
-0.00077794,-0.021379
-0.0007337,-0.021696
-0.00066955,-0.021855
-0.0006021,-0.021916
-0.00054202,-0.022076
-0.00048767,-0.022535
-0.00043804,-0.023365
-0.00040113,-0.024459
-0.00038285,-0.025586
-0.0003733,-0.026517
-0.00035271,-0.027145
-0.00031178,-0.027512
-0.00025973,-0.027736
-0.0002105,-0.027908
-0.00016937,-0.028068
-0.00014053,-0.028248
-0.00014258,-0.028517
-0.00020252,-0.028953
-0.00032654,-0.029575
-0.00048281,-0.030325
-0.00062432,-0.031121
-0.00073174,-0.031923
-0.00082819,-0.032737
-0.00094795,-0.033568
-0.001094,-0.034389
-0.0012323,-0.035157
-0.0013268,-0.035836
-0.0013777,-0.036394
-0.0014215,-0.036798
-0.0014943,-0.037031
-0.0015965,-0.037125
-0.0016925,-0.037161
-0.0017448,-0.037226
-0.0017485,-0.037372
-0.0017335,-0.037603
-0.0017327,-0.037886
-0.0017472,-0.038157
-0.0017459,-0.038337
-0.0017032,-0.038392
-0.001632,-0.038394
-0.001575,-0.038482
-0.0015587,-0.038727
-0.0015607,-0.039024
-0.0015304,-0.039174
-0.0014421,-0.039086
-0.0013236,-0.038891
-0.0012302,-0.038806
-0.0011919,-0.038884
-0.0011892,-0.038947
-0.0011789,-0.038783
-0.001135,-0.038401
-0.0010652,-0.038037
-0.00099354,-0.037892
-0.00093706,-0.037917
-0.00090026,-0.037905
-0.00088165,-0.037752
-0.00087522,-0.03758
-0.00086436,-0.037567
-0.00082386,-0.037691
-0.00073905,-0.037738
-0.00062622,-0.037548
-0.00052779,-0.037209
-0.00047817,-0.036967
-0.00047126,-0.036973
-0.00046421,-0.03718
-0.00041661,-0.037466
-0.00032657,-0.037777
-0.0002271,-0.03809
-0.00014934,-0.038282
-9.425e-05,-0.038164
-4.1711e-05,-0.037673
1.9374e-05,-0.037008
7.7662e-05,-0.036492
0.00011525,-0.036291
0.00012748,-0.036312
0.00011954,-0.036364
8.7678e-05,-0.036385
1.5818e-05,-0.036461
-0.00010169,-0.036676
-0.00023873,-0.036995
-0.00034916,-0.037323
-0.0004055,-0.037627
-0.00042401,-0.037963
-0.00044758,-0.038391
-0.00050397,-0.038898
-0.0005831,-0.039405
-0.00065375,-0.039831
-0.00069648,-0.040127
-0.00071573,-0.04028
-0.0007236,-0.040314
-0.00072158,-0.040298
-0.00070414,-0.040315
-0.00067432,-0.040412
-0.00064325,-0.040568
-0.00060929,-0.040733
-0.00054836,-0.040873
-0.00044018,-0.040977
-0.00030526,-0.041018
-0.00019807,-0.040938
-0.00014826,-0.040684
-0.00011715,-0.040267
-3.7003e-05,-0.039759
9.9317e-05,-0.039224
0.00021344,-0.038657
0.00023335,-0.03799
0.00019865,-0.037142
0.00023101,-0.036083
0.00038199,-0.034872
0.0005489,-0.033658
0.00059187,-0.032603
0.00052247,-0.031772
0.00050648,-0.031065
0.00064433,-0.030289
0.00081351,-0.029333
0.00082128,-0.028276
0.00070195,-0.027317
0.00073477,-0.026568
0.0010773,-0.025931
0.0014654,-0.025202
0.0014576,-0.024286
0.0010371,-0.023283
0.00081652,-0.022353
0.0014492,-0.021526
0.0028166,-0.02068
0.0039635,-0.019713
0.0039771,-0.018702
0.0029053,-0.017847
0.0017001,-0.017253
0.0012559,-0.016768
0.001607,-0.016072
0.0020947,-0.014931
0.0021798,-0.013394
0.0019337,-0.011771
0.001759,-0.010406
0.0018232,-0.0094608
0.0019152,-0.0088557
0.0017943,-0.0083688
0.0015072,-0.0077997
0.0012906,-0.0070774
0.0012527,-0.0062546
0.0012667,-0.0054345
0.0011742,-0.0046982
0.00099445,-0.0040699
0.00087463,-0.0035111
0.00088223,-0.002931
0.00092499,-0.0022227
0.00088339,-0.0013364
0.00076299,-0.0003403
0.00067325,0.00061075
0.00068052,0.0014013
0.00073463,0.0020594
0.00075034,0.0027183
0.00072103,0.0034655
0.00071705,0.0042512
0.00078479,0.0049677
0.00088538,0.005607
0.00094698,0.0062948
0.00095417,0.0071543
0.00095993,0.0081623
0.0010137,0.0091793
0.0011022,0.01012
0.0011727,0.011055
0.0012013,0.012123
0.0012191,0.013373
0.0012688,0.014708
0.0013523,0.016001
0.0014282,0.017225
0.001458,0.018451
0.0014458,0.019745
0.0014312,0.021074
0.0014494,0.022335
0.0015013,0.023456
0.0015591,0.024476
0.0015969,0.025524
0.0016159,0.026714
0.0016384,0.028038
0.001679,0.029365
0.0017222,0.030563
0.0017348,0.031635
0.0017047,0.032707
0.0016647,0.033852
0.0016668,0.034929
0.0017283,0.035663
0.0018094,0.035936
0.001852,0.035967
0.0018409,0.036158
0.0018194,0.036747
0.0018381,0.037628
0.0018955,0.038545
0.0019359,0.039401
0.0019066,0.040311
0.0018055,0.041353
0.0016708,0.042353
0.0015328,0.043027
0.0013901,0.043325
0.0012333,0.043555
0.0010742,0.044098
0.00093689,0.045009
0.00082243,0.045956
0.00069947,0.046586
0.00054103,0.046906
0.00036325,0.047278
0.00021457,0.048035
0.00012417,0.049145
7.1449e-05,0.050261
1.3437e-05,0.051076
-6.4552e-05,0.051587
-0.00013705,0.052032
-0.0001764,0.052601
-0.00018891,0.053267
-0.00020316,0.053855
-0.00022872,0.054258
-0.00024157,0.054545
-0.00021584,0.054886
-0.00016008,0.055394
-0.00011061,0.056047
-9.032e-05,0.056743
